,LISTING_URL,MAKE,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,ENGINE_CAP_CC,MILEAGE_KM,VEHICLE_TYPE
200,https://www.sgcarmart.com/used_cars/info.php?ID=920137&DL=3666,Toyota,78888,11740.0,29-Feb-2016,1986,63000.0,SUV
201,https://www.sgcarmart.com/used_cars/info.php?ID=887225&DL=3133,Volvo,128800,13940.0,20-Dec-2018,1969,39000.0,SUV
202,https://www.sgcarmart.com/used_cars/info.php?ID=926683&DL=1000,Kia,68500,7260.0,12-Mar-2019,1591,29000.0,Mid-Sized Sedan
203,https://www.sgcarmart.com/used_cars/info.php?ID=926764&DL=1032,Kia,15000,10860.0,28-Jun-2011,1591,137668.0,Mid-Sized Sedan
204,https://www.sgcarmart.com/used_cars/info.php?ID=858583&DL=2759,Toyota,53500,10340.0,28-Nov-2014,1798,56000.0,MPV
205,https://www.sgcarmart.com/used_cars/info.php?ID=919878&DL=3722,Honda,49800,8440.0,22-Oct-2015,1497,,Mid-Sized Sedan
206,https://www.sgcarmart.com/used_cars/info.php?ID=926623&DL=1044,Mazda,66111,8970.0,23-Feb-2017,1496,29000.0,Hatchback
207,https://www.sgcarmart.com/used_cars/info.php?ID=923753&DL=3133,BMW,68800,11080.0,20-Jun-2016,1496,75000.0,Hatchback
208,https://www.sgcarmart.com/used_cars/info.php?ID=920048&DL=3091,Honda,76800,9940.0,24-Nov-2016,1496,72000.0,MPV
209,https://www.sgcarmart.com/used_cars/info.php?ID=922072&DL=1104,Audi,74800,11460.0,28-Dec-2015,1798,73800.0,Luxury Sedan
210,https://www.sgcarmart.com/used_cars/info.php?ID=926780&DL=3597,Honda,55800,8690.0,14-Jul-2016,1496,,SUV
211,https://www.sgcarmart.com/used_cars/info.php?ID=925468&DL=3666,Citroen,59800,8160.0,26-Jul-2017,1560,44000.0,MPV
212,https://www.sgcarmart.com/used_cars/info.php?ID=913957&DL=3707,Citroen,50800,8060.0,30-May-2016,1560,108000.0,MPV
213,https://www.sgcarmart.com/used_cars/info.php?ID=926695&DL=3632,Mercedes-Benz,168888,15570.0,01-Nov-2019,1497,4800.0,Luxury Sedan
214,https://www.sgcarmart.com/used_cars/info.php?ID=907479&DL=3721,Peugeot,57900,8560.0,04-Aug-2016,1560,,MPV
215,https://www.sgcarmart.com/used_cars/info.php?ID=918274&DL=3722,Nissan,47800,7490.0,29-Sep-2016,1198,26744.0,Hatchback
216,https://www.sgcarmart.com/used_cars/info.php?ID=915051&DL=2978,Jaguar,128800,13800.0,18-Jun-2018,1997,60000.0,SUV
217,https://www.sgcarmart.com/used_cars/info.php?ID=912676&DL=1195,Honda,101000,12570.0,02-Mar-2017,2356,48155.0,MPV
218,https://www.sgcarmart.com/used_cars/info.php?ID=926726&DL=1242,Mercedes-Benz,98800,15860.0,06-Nov-2015,1991,70000.0,Luxury Sedan
219,https://www.sgcarmart.com/used_cars/info.php?ID=913248&DL=3456,Honda,23888,6320.0,22-Jun-2009,1496,121023.0,Stationwagon
220,https://www.sgcarmart.com/used_cars/info.php?ID=921372&DL=2341,Mercedes-Benz,79800,7980.0,02-Mar-2011,1796,99000.0,Luxury Sedan
221,https://www.sgcarmart.com/used_cars/info.php?ID=915674&DL=3666,Mazda,54800,8810.0,17-Nov-2015,1998,86000.0,MPV
222,https://www.sgcarmart.com/used_cars/info.php?ID=926651&DL=1307,Mitsubishi,33800,10550.0,22-Mar-2013,1590,112290.0,Mid-Sized Sedan
223,https://www.sgcarmart.com/used_cars/info.php?ID=923051&DL=1000,Mercedes-Benz,63800,6400.0,17-Sep-2010,1796,131881.0,Sports Car
224,https://www.sgcarmart.com/used_cars/info.php?ID=919297&DL=1194,Kia,28800,5760.0,14-Sep-2010,1591,,Mid-Sized Sedan
225,https://www.sgcarmart.com/used_cars/info.php?ID=925531&DL=3741,Kia,65500,7280.0,04-Dec-2018,1591,32560.0,Mid-Sized Sedan
226,https://www.sgcarmart.com/used_cars/info.php?ID=926677&DL=3376,BMW,298888,25270.0,24-Jul-2020,2998,3000.0,SUV
227,https://www.sgcarmart.com/used_cars/info.php?ID=918454&DL=3133,Jeep,159800,17840.0,27-Apr-2018,3604,36000.0,SUV
228,https://www.sgcarmart.com/used_cars/info.php?ID=914709&DL=2978,BMW,79800,13870.0,28-Aug-2014,1997,120000.0,Luxury Sedan
229,https://www.sgcarmart.com/used_cars/info.php?ID=893846&DL=3456,Honda,61888,7710.0,24-Nov-2017,1497,60000.0,Mid-Sized Sedan
230,https://www.sgcarmart.com/used_cars/info.php?ID=921246&DL=3722,Nissan,40800,9050.0,21-Aug-2014,1598,,Mid-Sized Sedan
231,https://www.sgcarmart.com/used_cars/info.php?ID=926633&DL=2927,Audi,160000,21180.0,31-Mar-2008,4163,75000.0,Sports Car
232,https://www.sgcarmart.com/used_cars/info.php?ID=926702&DL=3632,Mercedes-Benz,152888,14390.0,01-Nov-2019,1595,1200.0,Luxury Sedan
233,https://www.sgcarmart.com/used_cars/info.php?ID=926729&DL=3662,Mercedes-Benz,126800,16700.0,28-Sep-2016,1991,29000.0,Sports Car
234,https://www.sgcarmart.com/used_cars/info.php?ID=926628&DL=2870,Lexus,97988,13610.0,29-Apr-2016,2494,65000.0,Luxury Sedan
235,https://www.sgcarmart.com/used_cars/info.php?ID=926580&DL=1000,Mercedes-Benz,159888,13540.0,31-Aug-2020,1332,330.0,Luxury Sedan
236,https://www.sgcarmart.com/used_cars/info.php?ID=925264&DL=3722,Toyota,75800,8710.0,28-May-2018,1496,46444.0,MPV
